Classification Report
======================================================================
   digit    precision       recall     f1-score    support
       0       0.9980       0.9969       0.9974        980
       1       0.9956       0.9921       0.9938       1135
       2       0.9952       0.9961       0.9956       1032
       3       0.9970       0.9950       0.9960       1010
       4       0.9899       0.9939       0.9919        982
       5       0.9889       0.9978       0.9933        892
       6       0.9937       0.9937       0.9937        958
       7       0.9894       0.9951       0.9922       1028
       8       0.9918       0.9938       0.9928        974
       9       0.9980       0.9841       0.9910       1009

accuracy                                 0.9938      10000
macro avg       0.9937       0.9939       0.9938      10000
weighted avg       0.9938       0.9938       0.9938      10000
